id,winner,loser,player,score,player_score,venue,date,sport,gender,toss,league
1,India,Pakistan,Virat Kohli,160,82,"MCG, Melbourne",2022-10-23,Cricket,Men,Bowl,International Cricket
2,England,Pakistan,Ben Stokes,138,52,"MCG, Melbourne",2022-11-13,Cricket,Men,Bowl,International Cricket
3,Australia Women,India Women,Beth Mooney,172,61,"Edgbaston, Birmingham",2022-08-07,Cricket,Women,Bat,International Cricket
4,Australia,India,Travis Head,241,137,"Narendra Modi Stadium, Ahmedabad",2023-11-19,Cricket,Men,Bowl,International Cricket
5,India,New Zealand,Virat Kohli,397,117,"Wankhede Stadium, Mumbai",2023-11-15,Cricket,Men,Bat,International Cricket
6,Pakistan,Sri Lanka,Mohammad Rizwan,345,131,"Rajiv Gandhi International Stadium, Hyderabad",2023-10-10,Cricket,Men,Bowl,International Cricket
7,Australia Women,South Africa Women,Beth Mooney,156,74,"Newlands Cricket Ground, Cape Town",2023-02-26,Cricket,Women,Bat,International Cricket
8,Mumbai Indians Women,Delhi Capitals Women,Nat Sciver-Brunt,134,60,"Brabourne Stadium, Mumbai",2023-03-26,Cricket,Women,Bowl,Womens Premier League
9,UP Warriorz Women,Gujarat Giants Women,Grace Harris,175,59,"DY Patil Stadium, Navi Mumbai",2023-03-05,Cricket,Women,Bowl,Womens Premier League
10,India,South Africa,Virat Kohli,176,76,"Kensington Oval, Barbados",2024-06-29,Cricket,Men,Bat,International Cricket
11,India,Pakistan,Jasprit Bumrah,119,14,"Nassau County Stadium, New York",2024-06-09,Cricket,Men,Bowl,International Cricket
12,New Zealand Women,South Africa Women,Amelia Kerr,158,43,"Dubai International Cricket Stadium, Dubai",2024-10-20,Cricket,Women,Bowl,International Cricket
13,Royal Challengers Bangalore Women,Delhi Capitals Women,Ellyse Perry,115,35,"Arun Jaitley Stadium, New Delhi",2024-03-17,Cricket,Women,Bowl,Womens Premier League
14,Royal Challengers Bangalore Women,Gujarat Giants Women,Smriti Mandhana,199,80,"M. Chinnaswamy Stadium, Bengaluru",2024-03-03,Cricket,Women,Bowl,Womens Premier League
15,India,Australia,Rishabh Pant,280,97,"SCG, Sydney",2025-01-07,Cricket,Men,Bat,International Cricket
16,India,Pakistan,Rohit Sharma,185,86,"National Stadium, Karachi",2025-03-09,Cricket,Men,Bowl,International Cricket
17,Mumbai Indians Women,Royal Challengers Bangalore Women,Harmanpreet Kaur,168,72,"DY Patil Stadium, Navi Mumbai",2025-03-16,Cricket,Women,Bat,Womens Premier League
18,India,England,Suryakumar Yadav,204,88,"Wankhede Stadium, Mumbai",2026-02-15,Cricket,Men,Bat,International Cricket
19,Royal Challengers Bangalore Women,Delhi Capitals Women,Smriti Mandhana,172,64,"M. Chinnaswamy Stadium, Bengaluru",2026-03-15,Cricket,Women,Bowl,Womens Premier League
20,Kolkata Knight Riders,Chennai Super Kings,UT Yadav,132,66,"Wankhede Stadium, Mumbai",2022-03-26,Cricket,Men,field,Indian Premier League
21,Delhi Capitals,Mumbai Indians,Kuldeep Yadav,178,47,"Brabourne Stadium, Mumbai",2022-03-27,Cricket,Men,field,Indian Premier League
22,Punjab Kings,Royal Challengers Bangalore,OF Smith,206,75,"Dr DY Patil Sports Academy, Mumbai",2022-03-27,Cricket,Men,field,Indian Premier League
23,Gujarat Titans,Lucknow Super Giants,Mohammed Shami,159,94,"Wankhede Stadium, Mumbai",2022-03-28,Cricket,Men,field,Indian Premier League
24,Rajasthan Royals,Sunrisers Hyderabad,SV Samson,211,119,"Maharashtra Cricket Association Stadium, Pune",2022-03-29,Cricket,Men,field,Indian Premier League
25,Royal Challengers Bangalore,Kolkata Knight Riders,PWH de Silva,129,35,"Dr DY Patil Sports Academy, Mumbai",2022-03-30,Cricket,Men,field,Indian Premier League
26,Lucknow Super Giants,Chennai Super Kings,E Lewis,211,76,"Brabourne Stadium, Mumbai",2022-03-31,Cricket,Men,field,Indian Premier League
27,Kolkata Knight Riders,Punjab Kings,UT Yadav,138,75,"Wankhede Stadium, Mumbai",2022-04-01,Cricket,Men,field,Indian Premier League
28,Rajasthan Royals,Mumbai Indians,JC Buttler,194,71,"Dr DY Patil Sports Academy, Mumbai",2022-04-02,Cricket,Men,field,Indian Premier League
29,Gujarat Titans,Delhi Capitals,LH Ferguson,172,95,"Maharashtra Cricket Association Stadium, Pune",2022-04-02,Cricket,Men,field,Indian Premier League
30,Punjab Kings,Chennai Super Kings,LS Livingstone,181,78,"Brabourne Stadium, Mumbai",2022-04-03,Cricket,Men,field,Indian Premier League
31,Lucknow Super Giants,Sunrisers Hyderabad,Avesh Khan,170,66,"Dr DY Patil Sports Academy, Mumbai",2022-04-04,Cricket,Men,field,Indian Premier League
32,Royal Challengers Bangalore,Rajasthan Royals,KD Karthik,170,67,"Wankhede Stadium, Mumbai",2022-04-05,Cricket,Men,field,Indian Premier League
